season,round,Race_Key,Grand_Prix,Race_Date,Team,join_team,Momentum_Raw,Upgrade_Raw,Context_Raw,Source_Confidence,Raw_Weighted_Score,Composite_Chatter_Score,Points_Nudge,Finish_Position_Nudge,Primary_Source_IDs,Coding_Notes,Last_Coded,race_average_chatter,race_centered_chatter
2018,1,2018_R01_AUSTRALIA,Australia,2018-03-25,Ferrari,ferrari,1.1,0,0,1,0.4950000000000001,0.4950000000000001,0.12375,-0.12375,EVT_0001,Event-log coded | Momentum +0.8 | rolling momentum base +0.2,2026-07-03,0.03100000000000001,0.4640000000000001
2018,1,2018_R01_AUSTRALIA,Australia,2018-03-25,Force India/Racing Point,force india racing point,-0.1,0,0,0.75,-0.045,-0.03375,-0.0084375,0.0084375,Rolling_Result_Form; Season_Tier_Proxy,Proxy coded from recent results/form and season-tier scaffold | rolling momentum base -0.1,2026-07-03,0.03100000000000001,-0.06475000000000002
2018,1,2018_R01_AUSTRALIA,Australia,2018-03-25,Haas F1 Team,haas f1 team,0.4,0,0,1,0.18000000000000002,0.18000000000000002,0.045,-0.045,EVT_0006,Event-log coded | Momentum +0.4,2026-07-03,0.03100000000000001,0.14900000000000002
2018,1,2018_R01_AUSTRALIA,Australia,2018-03-25,McLaren,mclaren,0,0,0.4,1,0.04000000000000001,0.04000000000000001,0.01,-0.01,EVT_0010,Event-log coded | Context +0.4,2026-07-03,0.03100000000000001,0.008999999999999998
2018,1,2018_R01_AUSTRALIA,Australia,2018-03-25,Mercedes,mercedes,0.2,0,0,0.75,0.09000000000000001,0.0675,0.016875,-0.016875,Rolling_Result_Form; Season_Tier_Proxy,Proxy coded from recent results/form and season-tier scaffold | rolling momentum base +0.2,2026-07-03,0.03100000000000001,0.03649999999999999
2018,1,2018_R01_AUSTRALIA,Australia,2018-03-25,Red Bull Racing,red bull racing,0.2,0,0,0.75,0.09000000000000001,0.0675,0.016875,-0.016875,Rolling_Result_Form; Season_Tier_Proxy,Proxy coded from recent results/form and season-tier scaffold | rolling momentum base +0.2,2026-07-03,0.03100000000000001,0.03649999999999999
2018,1,2018_R01_AUSTRALIA,Australia,2018-03-25,Renault,alpine,0.3,0,0,1,0.135,0.135,0.03375,-0.03375,EVT_0007,Event-log coded | Momentum +0.3,2026-07-03,0.03100000000000001,0.104
2018,1,2018_R01_AUSTRALIA,Australia,2018-03-25,Sauber,sauber,-0.1,0,0,0.75,-0.045,-0.03375,-0.0084375,0.0084375,Rolling_Result_Form; Season_Tier_Proxy,Proxy coded from recent results/form and season-tier scaffold | rolling momentum base -0.1,2026-07-03,0.03100000000000001,-0.06475000000000002
2018,1,2018_R01_AUSTRALIA,Australia,2018-03-25,Toro Rosso,alphatauri,-0.2,0,0,0.75,-0.09000000000000001,-0.0675,-0.016875,0.016875,Rolling_Result_Form; Season_Tier_Proxy,Proxy coded from recent results/form and season-tier scaffold | rolling momentum base -0.2,2026-07-03,0.03100000000000001,-0.09850000000000002
2018,1,2018_R01_AUSTRALIA,Australia,2018-03-25,Williams,williams,-1.2,0,0,1,-0.54,-0.54,-0.135,0.135,EVT_0009,Event-log coded | Momentum -1.0 | rolling momentum base -0.2,2026-07-03,0.03100000000000001,-0.5710000000000001
2018,2,2018_R02_BAHRAIN,Bahrain,2018-04-08,Ferrari,ferrari,2,0,0,1,0.9,0.9,0.225,-0.225,EVT_0001,Event-log coded | Momentum +0.8 | rolling momentum base +1.2,2026-07-03,0.07150000000000001,0.8285
2018,2,2018_R02_BAHRAIN,Bahrain,2018-04-08,Force India/Racing Point,force india racing point,-0.1,0,0,0.75,-0.045,-0.03375,-0.0084375,0.0084375,Rolling_Result_Form; Season_Tier_Proxy,Proxy coded from recent results/form and season-tier scaffold | rolling momentum base -0.1,2026-07-03,0.07150000000000001,-0.10525000000000001
2018,2,2018_R02_BAHRAIN,Bahrain,2018-04-08,Haas F1 Team,haas f1 team,0.4,0,0,1,0.18000000000000002,0.18000000000000002,0.045,-0.045,EVT_0006,Event-log coded | Momentum +0.4,2026-07-03,0.07150000000000001,0.10850000000000001
2018,2,2018_R02_BAHRAIN,Bahrain,2018-04-08,McLaren,mclaren,0,0,0.4,1,0.04000000000000001,0.04000000000000001,0.01,-0.01,EVT_0010,Event-log coded | Context +0.4,2026-07-03,0.07150000000000001,-0.0315
2018,2,2018_R02_BAHRAIN,Bahrain,2018-04-08,Mercedes,mercedes,0.2,0,0,0.75,0.09000000000000001,0.0675,0.016875,-0.016875,Rolling_Result_Form; Season_Tier_Proxy,Proxy coded from recent results/form and season-tier scaffold | rolling momentum base +0.2,2026-07-03,0.07150000000000001,-0.0040000000000000036
2018,2,2018_R02_BAHRAIN,Bahrain,2018-04-08,Red Bull Racing,red bull racing,0.2,0,0,0.75,0.09000000000000001,0.0675,0.016875,-0.016875,Rolling_Result_Form; Season_Tier_Proxy,Proxy coded from recent results/form and season-tier scaffold | rolling momentum base +0.2,2026-07-03,0.07150000000000001,-0.0040000000000000036
2018,2,2018_R02_BAHRAIN,Bahrain,2018-04-08,Renault,alpine,0.3,0,0,1,0.135,0.135,0.03375,-0.03375,EVT_0007,Event-log coded | Momentum +0.3,2026-07-03,0.07150000000000001,0.0635
2018,2,2018_R02_BAHRAIN,Bahrain,2018-04-08,Sauber,sauber,-0.1,0,0,0.75,-0.045,-0.03375,-0.0084375,0.0084375,Rolling_Result_Form; Season_Tier_Proxy,Proxy coded from recent results/form and season-tier scaffold | rolling momentum base -0.1,2026-07-03,0.07150000000000001,-0.10525000000000001
2018,2,2018_R02_BAHRAIN,Bahrain,2018-04-08,Toro Rosso,alphatauri,-0.2,0,0,0.75,-0.09000000000000001,-0.0675,-0.016875,0.016875,Rolling_Result_Form; Season_Tier_Proxy,Proxy coded from recent results/form and season-tier scaffold | rolling momentum base -0.2,2026-07-03,0.07150000000000001,-0.139
2018,2,2018_R02_BAHRAIN,Bahrain,2018-04-08,Williams,williams,-1.2,0,0,1,-0.54,-0.54,-0.135,0.135,EVT_0009,Event-log coded | Momentum -1.0 | rolling momentum base -0.2,2026-07-03,0.07150000000000001,-0.6115
2018,3,2018_R03_CHINA,China,2018-04-15,Ferrari,ferrari,2,0,0,1,0.9,0.9,0.225,-0.225,EVT_0001,Event-log coded | Momentum +0.8 | rolling momentum base +1.8,2026-07-03,0.10075,0.79925
2018,3,2018_R03_CHINA,China,2018-04-15,Force India/Racing Point,force india racing point,-0.1,0,0,0.75,-0.045,-0.03375,-0.0084375,0.0084375,Rolling_Result_Form; Season_Tier_Proxy,Proxy coded from recent results/form and season-tier scaffold | rolling momentum base -0.1,2026-07-03,0.10075,-0.1345
2018,3,2018_R03_CHINA,China,2018-04-15,Haas F1 Team,haas f1 team,0.4,0,0,1,0.18000000000000002,0.18000000000000002,0.045,-0.045,EVT_0006,Event-log coded | Momentum +0.4,2026-07-03,0.10075,0.07925000000000001
2018,3,2018_R03_CHINA,China,2018-04-15,McLaren,mclaren,0,0,0.4,1,0.04000000000000001,0.04000000000000001,0.01,-0.01,EVT_0010,Event-log coded | Context +0.4,2026-07-03,0.10075,-0.06075
2018,3,2018_R03_CHINA,China,2018-04-15,Mercedes,mercedes,0.2,0,0,0.75,0.09000000000000001,0.0675,0.016875,-0.016875,Rolling_Result_Form; Season_Tier_Proxy,Proxy coded from recent results/form and season-tier scaffold | rolling momentum base +0.2,2026-07-03,0.10075,-0.03325
2018,3,2018_R03_CHINA,China,2018-04-15,Red Bull Racing,red bull racing,0.8,0,0,1,0.36000000000000004,0.36000000000000004,0.09000000000000001,-0.09000000000000001,EVT_0004,Event-log coded | Momentum +0.5 | rolling momentum base +0.2,2026-07-03,0.10075,0.25925000000000004
2018,3,2018_R03_CHINA,China,2018-04-15,Renault,alpine,0.3,0,0,1,0.135,0.135,0.03375,-0.03375,EVT_0007,Event-log coded | Momentum +0.3,2026-07-03,0.10075,0.03425
2018,3,2018_R03_CHINA,China,2018-04-15,Sauber,sauber,-0.1,0,0,0.75,-0.045,-0.03375,-0.0084375,0.0084375,Rolling_Result_Form; Season_Tier_Proxy,Proxy coded from recent results/form and season-tier scaffold | rolling momentum base -0.1,2026-07-03,0.10075,-0.1345
2018,3,2018_R03_CHINA,China,2018-04-15,Toro Rosso,alphatauri,-0.2,0,0,0.75,-0.09000000000000001,-0.0675,-0.016875,0.016875,Rolling_Result_Form; Season_Tier_Proxy,Proxy coded from recent results/form and season-tier scaffold | rolling momentum base -0.2,2026-07-03,0.10075,-0.16825
2018,3,2018_R03_CHINA,China,2018-04-15,Williams,williams,-1.2,0,0,1,-0.54,-0.54,-0.135,0.135,EVT_0009,Event-log coded | Momentum -1.0 | rolling momentum base -0.2,2026-07-03,0.10075,-0.64075
2018,4,2018_R04_AZERBAIJAN,Azerbaijan,2018-04-29,Ferrari,ferrari,1.8,0,0,1,0.81,0.81,0.2025,-0.2025,EVT_0001,Event-log coded | Momentum +0.8 | rolling momentum base +1.0,2026-07-03,0.171,0.639
